cc memoryManager.c
./a.out addresses.txt
Virtual adress: 64198	Physical address: 4550	 Value: 62
Virtual adress: 29441	Physical address: 49409	 Value: 0
Virtual adress: 1928	Physical address: 33160	 Value: 0
Virtual adress: 39425	Physical address: 43265	 Value: 0
Virtual adress: 32000	Physical address: 49664	 Value: 0
Virtual adress: 28549	Physical address: 28037	 Value: 0
Virtual adress: 46295	Physical address: 50135	 Value: 53
Virtual adress: 22772	Physical address: 3060	 Value: 0
Virtual adress: 58228	Physical address: 34164	 Value: 0
Virtual adress: 63525	Physical address: 28197	 Value: 0
Virtual adress: 32602	Physical address: 9562	 Value: 31
Virtual adress: 46195	Physical address: 50035	 Value: 28
Virtual adress: 55849	Physical address: 34601	 Value: 0
Virtual adress: 46454	Physical address: 50294	 Value: 45
Virtual adress: 7487	Physical address: 6207	 Value: 79
Virtual adress: 33879	Physical address: 42071	 Value: 21
Virtual adress: 42004	Physical address: 46100	 Value: 0
Virtual adress: 8599	Physical address: 20119	 Value: 101
Virtual adress: 18641	Physical address: 5585	 Value: 0
Virtual adress: 49015	Physical address: 50551	 Value: -35
Virtual adress: 26830	Physical address: 42702	 Value: 26
Virtual adress: 34754	Physical address: 18114	 Value: 33
Virtual adress: 14668	Physical address: 33356	 Value: 0
Virtual adress: 38362	Physical address: 20442	 Value: 37
Virtual adress: 38791	Physical address: 46983	 Value: -31
Virtual adress: 4171	Physical address: 50763	 Value: 18
Virtual adress: 45975	Physical address: 51095	 Value: -27
Virtual adress: 14623	Physical address: 33311	 Value: 71
Virtual adress: 62393	Physical address: 23993	 Value: 0
Virtual adress: 64658	Physical address: 6546	 Value: 63
Virtual adress: 10963	Physical address: 12499	 Value: -76
Virtual adress: 9058	Physical address: 48226	 Value: 8
Virtual adress: 51031	Physical address: 42839	 Value: -43
Virtual adress: 32425	Physical address: 7081	 Value: 0
Virtual adress: 45483	Physical address: 45995	 Value: 106
Virtual adress: 44611	Physical address: 11075	 Value: -112
Virtual adress: 63664	Physical address: 28336	 Value: 0
Virtual adress: 54920	Physical address: 3720	 Value: 0
Virtual adress: 7663	Physical address: 6383	 Value: 123
Virtual adress: 56480	Physical address: 51360	 Value: 0
Virtual adress: 1489	Physical address: 51665	 Value: 0
Virtual adress: 28438	Physical address: 27926	 Value: 27
Virtual adress: 65449	Physical address: 30633	 Value: 0
Virtual adress: 12441	Physical address: 45209	 Value: 0
Virtual adress: 58530	Physical address: 15522	 Value: 57
Virtual adress: 63570	Physical address: 28242	 Value: 62
Virtual adress: 26251	Physical address: 49291	 Value: -94
Virtual adress: 15972	Physical address: 21092	 Value: 0
Virtual adress: 35826	Physical address: 44018	 Value: 34
Virtual adress: 5491	Physical address: 21619	 Value: 92
Virtual adress: 54253	Physical address: 51949	 Value: 0
Virtual adress: 49655	Physical address: 45559	 Value: 125
Virtual adress: 5868	Physical address: 52204	 Value: 0
Virtual adress: 20163	Physical address: 40643	 Value: -80
Virtual adress: 51079	Physical address: 42887	 Value: -31
Virtual adress: 21398	Physical address: 9110	 Value: 20
Virtual adress: 32756	Physical address: 9716	 Value: 0
Virtual adress: 64196	Physical address: 4548	 Value: 0
Virtual adress: 43218	Physical address: 17618	 Value: 42
Virtual adress: 21583	Physical address: 52303	 Value: 19
Virtual adress: 25086	Physical address: 52734	 Value: 24
Virtual adress: 45515	Physical address: 46027	 Value: 114
Virtual adress: 12893	Physical address: 30301	 Value: 0
Virtual adress: 22914	Physical address: 52866	 Value: 22
Virtual adress: 58969	Physical address: 14937	 Value: 0
Virtual adress: 20094	Physical address: 40574	 Value: 19
Virtual adress: 13730	Physical address: 53154	 Value: 13
Virtual adress: 44059	Physical address: 53275	 Value: 6
Virtual adress: 28931	Physical address: 16387	 Value: 64
Virtual adress: 13533	Physical address: 36317	 Value: 0
Virtual adress: 33134	Physical address: 53614	 Value: 32
Virtual adress: 28483	Physical address: 27971	 Value: -48
Virtual adress: 1220	Physical address: 40900	 Value: 0
Virtual adress: 38174	Physical address: 20254	 Value: 37
Virtual adress: 53502	Physical address: 35582	 Value: 52
Virtual adress: 43328	Physical address: 29504	 Value: 0
Virtual adress: 4970	Physical address: 13674	 Value: 4
Virtual adress: 8090	Physical address: 33946	 Value: 7
Virtual adress: 2661	Physical address: 53861	 Value: 0
Virtual adress: 53903	Physical address: 54159	 Value: -93
Virtual adress: 11025	Physical address: 39953	 Value: 0
Virtual adress: 26627	Physical address: 42499	 Value: 0
Virtual adress: 18117	Physical address: 18885	 Value: 0
Virtual adress: 14505	Physical address: 5801	 Value: 0
Virtual adress: 61528	Physical address: 23128	 Value: 0
Virtual adress: 20423	Physical address: 16839	 Value: -15
Virtual adress: 26962	Physical address: 26962	 Value: 26
Virtual adress: 36392	Physical address: 14376	 Value: 0
Virtual adress: 11365	Physical address: 54373	 Value: 0
Virtual adress: 50882	Physical address: 26306	 Value: 49
Virtual adress: 41668	Physical address: 41924	 Value: 0
Virtual adress: 30497	Physical address: 16161	 Value: 0
Virtual adress: 36216	Physical address: 54648	 Value: 0
Virtual adress: 5619	Physical address: 21747	 Value: 124
Virtual adress: 36983	Physical address: 18295	 Value: 29
Virtual adress: 59557	Physical address: 26021	 Value: 0
Virtual adress: 36663	Physical address: 35639	 Value: -51
Virtual adress: 36436	Physical address: 14420	 Value: 0
Virtual adress: 37057	Physical address: 18369	 Value: 0
Virtual adress: 23585	Physical address: 54817	 Value: 0
Virtual adress: 58791	Physical address: 55207	 Value: 105
Virtual adress: 46666	Physical address: 55370	 Value: 45
Virtual adress: 64475	Physical address: 5083	 Value: -10
Virtual adress: 21615	Physical address: 52335	 Value: 27
Virtual adress: 41090	Physical address: 8834	 Value: 40
Virtual adress: 1771	Physical address: 43755	 Value: -70
Virtual adress: 47513	Physical address: 32153	 Value: 0
Virtual adress: 39338	Physical address: 55722	 Value: 38
Virtual adress: 1390	Physical address: 51566	 Value: 1
Virtual adress: 38772	Physical address: 46964	 Value: 0
Virtual adress: 58149	Physical address: 34085	 Value: 0
Virtual adress: 7196	Physical address: 43036	 Value: 0
Virtual adress: 9123	Physical address: 48291	 Value: -24
Virtual adress: 7491	Physical address: 6211	 Value: 80
Virtual adress: 62616	Physical address: 408	 Value: 0
Virtual adress: 15436	Physical address: 31820	 Value: 0
Virtual adress: 17491	Physical address: 41043	 Value: 20
Virtual adress: 53656	Physical address: 920	 Value: 0
Virtual adress: 26449	Physical address: 24401	 Value: 0
Virtual adress: 34935	Physical address: 26743	 Value: 29
Virtual adress: 19864	Physical address: 36504	 Value: 0
Virtual adress: 51388	Physical address: 32700	 Value: 0
Virtual adress: 15155	Physical address: 32307	 Value: -52
Virtual adress: 64775	Physical address: 2055	 Value: 65
Virtual adress: 47969	Physical address: 25697	 Value: 0
Virtual adress: 16315	Physical address: 55995	 Value: -18
Virtual adress: 1342	Physical address: 51518	 Value: 1
Virtual adress: 51185	Physical address: 42993	 Value: 0
Virtual adress: 6043	Physical address: 9371	 Value: -26
Virtual adress: 21398	Physical address: 9110	 Value: 20
Virtual adress: 3273	Physical address: 40393	 Value: 0
Virtual adress: 9370	Physical address: 22938	 Value: 9
Virtual adress: 35463	Physical address: 56199	 Value: -95
Virtual adress: 28205	Physical address: 34861	 Value: 0
Virtual adress: 2351	Physical address: 4655	 Value: 75
Virtual adress: 28999	Physical address: 16455	 Value: 81
Virtual adress: 47699	Physical address: 56403	 Value: -108
Virtual adress: 46870	Physical address: 19734	 Value: 45
Virtual adress: 22311	Physical address: 11303	 Value: -55
Virtual adress: 22124	Physical address: 56684	 Value: 0
Virtual adress: 22427	Physical address: 11419	 Value: -26
Virtual adress: 49344	Physical address: 8640	 Value: 0
Virtual adress: 23224	Physical address: 36024	 Value: 0
Virtual adress: 5514	Physical address: 21642	 Value: 5
Virtual adress: 20504	Physical address: 56856	 Value: 0
Virtual adress: 376	Physical address: 57208	 Value: 0
Virtual adress: 2014	Physical address: 33246	 Value: 1
Virtual adress: 38700	Physical address: 46892	 Value: 0
Virtual adress: 13098	Physical address: 44330	 Value: 12
Virtual adress: 62435	Physical address: 24035	 Value: -8
Virtual adress: 48046	Physical address: 25774	 Value: 46
Virtual adress: 63464	Physical address: 17128	 Value: 0
Virtual adress: 12798	Physical address: 31230	 Value: 12
Virtual adress: 51178	Physical address: 42986	 Value: 49
Virtual adress: 8627	Physical address: 20147	 Value: 108
Virtual adress: 27083	Physical address: 27083	 Value: 114
Virtual adress: 47198	Physical address: 29790	 Value: 46
Virtual adress: 44021	Physical address: 57589	 Value: 0
Virtual adress: 32792	Physical address: 4120	 Value: 0
Virtual adress: 43996	Physical address: 57564	 Value: 0
Virtual adress: 41126	Physical address: 8870	 Value: 40
Virtual adress: 64244	Physical address: 4596	 Value: 0
Virtual adress: 37047	Physical address: 18359	 Value: 45
Virtual adress: 60281	Physical address: 57721	 Value: 0
Virtual adress: 52904	Physical address: 47784	 Value: 0
Virtual adress: 7768	Physical address: 57944	 Value: 0
Virtual adress: 55359	Physical address: 58175	 Value: 15
Virtual adress: 3230	Physical address: 40350	 Value: 3
Virtual adress: 44813	Physical address: 13069	 Value: 0
Virtual adress: 4116	Physical address: 50708	 Value: 0
Virtual adress: 65222	Physical address: 48582	 Value: 63
Virtual adress: 28083	Physical address: 3507	 Value: 108
Virtual adress: 60660	Physical address: 7412	 Value: 0
